airzone,site,location,instrument,parameter,year,annual metric,annual metric (tfee-adjusted),24-hour metric,24-hour metric (tfee-adjusted),no adjustment,adjusted
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2013,NA,NA,NA,NA,NA,NA
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2014,NA,NA,NA,NA,NA,NA
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2015,7.4,7.4,22,22,orange,orange
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2016,7.2,7.2,20,20,orange,orange
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2017,7,6.9,21,19,orange,orange
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2018,7,6.9,39,19,red,orange
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2019,7.9,7.8,40,21,red,orange
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2020,7.9,7.9,38,20,red,orange
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2021,7.6,7.6,20,20,orange,orange
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2022,7.1,7.1,19,19,orange,orange
Central Interior,Burns Lake Fire Centre,Burns Lake,PM25 SHARP5030,pm25,2023,8.6,8.5,35,35,red,red
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2013,NA,NA,NA,NA,NA,NA
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2014,NA,NA,29,29,red,red
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2015,NA,NA,30,30,red,red
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2016,9.3,9.3,29,29,red,red
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2017,9.3,9.1,30,29,red,red
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2018,9.1,8.8,29,28,red,orange
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2019,10,9.7,31,30,red,red
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2020,9.4,9.4,31,31,red,red
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2021,8.9,8.9,30,30,red,red
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2022,8.3,8.3,29,29,red,red
Central Interior,Houston Firehall,Houston,PM25 SHARP5030,pm25,2023,9.2,9.2,32,32,red,red
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2013,5.2,5.2,18,18,yellow,yellow
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2014,5.5,5.5,19,19,yellow,yellow
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2015,NA,NA,NA,NA,NA,NA
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2016,NA,NA,NA,NA,NA,NA
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2017,NA,NA,NA,NA,NA,NA
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2018,NA,NA,NA,NA,NA,NA
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2019,NA,NA,NA,NA,NA,NA
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2020,NA,NA,NA,NA,NA,NA
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2021,NA,NA,NA,NA,NA,NA
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2022,NA,NA,NA,NA,NA,NA
Central Interior,Houston Firehall,Houston,PM25_R&P_TEOM,pm25,2023,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2013,NA,NA,22,22,orange,orange
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2014,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2015,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2016,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2017,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2018,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2019,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2020,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2021,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2022,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Exploration Place Trailer,Prince George-Exploration Place Trailer,PM25_R&P_TEOM,pm25,2023,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,PM25_R&P_TEOM,pm25,2013,4.6,4.6,17,17,yellow,yellow
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,PM25_R&P_TEOM,pm25,2014,5.2,5,21,20,orange,orange
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,PM25_R&P_TEOM,pm25,2015,5.4,5.1,22,21,orange,orange
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,PM25_R&P_TEOM,pm25,2016,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,PM25_R&P_TEOM,pm25,2017,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,PM25_R&P_TEOM,pm25,2018,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,PM25_R&P_TEOM,pm25,2019,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,PM25_R&P_TEOM,pm25,2020,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,PM25_R&P_TEOM,pm25,2021,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,PM25_R&P_TEOM,pm25,2022,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,PM25_R&P_TEOM,pm25,2023,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25 SHARP5030,pm25,2013,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25 SHARP5030,pm25,2014,9.5,9,31,26,red,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25 SHARP5030,pm25,2015,9.5,9,31,26,red,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25 SHARP5030,pm25,2016,9.3,8.8,30,24,red,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25 SHARP5030,pm25,2017,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25 SHARP5030,pm25,2018,12.4,9.1,71,25,red,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25 SHARP5030,pm25,2019,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25 SHARP5030,pm25,2020,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25 SHARP5030,pm25,2021,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25 SHARP5030,pm25,2022,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25 SHARP5030,pm25,2023,11.2,10.6,55,50,red,red
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25_R&P_TEOM,pm25,2013,5.7,5.7,21,21,orange,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25_R&P_TEOM,pm25,2014,6.4,6.1,25,23,orange,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25_R&P_TEOM,pm25,2015,6.6,6.1,24,20,orange,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25_R&P_TEOM,pm25,2016,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25_R&P_TEOM,pm25,2017,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25_R&P_TEOM,pm25,2018,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25_R&P_TEOM,pm25,2019,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25_R&P_TEOM,pm25,2020,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25_R&P_TEOM,pm25,2021,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25_R&P_TEOM,pm25,2022,NA,NA,NA,NA,NA,NA
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,PM25_R&P_TEOM,pm25,2023,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel,Quesnel,PM25_R&P_TEOM,pm25,2013,7.1,7.1,24,24,orange,orange
Central Interior,Quesnel,Quesnel,PM25_R&P_TEOM,pm25,2014,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel,Quesnel,PM25_R&P_TEOM,pm25,2015,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel,Quesnel,PM25_R&P_TEOM,pm25,2016,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel,Quesnel,PM25_R&P_TEOM,pm25,2017,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel,Quesnel,PM25_R&P_TEOM,pm25,2018,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel,Quesnel,PM25_R&P_TEOM,pm25,2019,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel,Quesnel,PM25_R&P_TEOM,pm25,2020,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel,Quesnel,PM25_R&P_TEOM,pm25,2021,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel,Quesnel,PM25_R&P_TEOM,pm25,2022,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel,Quesnel,PM25_R&P_TEOM,pm25,2023,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel,Quesnel,SHARP,pm25,2013,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel,Quesnel,SHARP,pm25,2014,10.3,9.5,32,26,red,orange
Central Interior,Quesnel,Quesnel,SHARP,pm25,2015,10,9.5,29,24,red,orange
Central Interior,Quesnel,Quesnel,SHARP,pm25,2016,9.8,9.3,29,24,red,orange
Central Interior,Quesnel,Quesnel,SHARP,pm25,2017,10.7,9.2,39,22,red,orange
Central Interior,Quesnel,Quesnel,SHARP,pm25,2018,13.1,9.6,71,24,red,orange
Central Interior,Quesnel,Quesnel,SHARP,pm25,2019,13.2,9.7,73,25,red,orange
Central Interior,Quesnel,Quesnel,SHARP,pm25,2020,12.8,9.8,72,26,red,red
Central Interior,Quesnel,Quesnel,SHARP,pm25,2021,9.4,8.6,34,25,red,orange
Central Interior,Quesnel,Quesnel,SHARP,pm25,2022,9.6,8.6,35,25,red,orange
Central Interior,Quesnel,Quesnel,SHARP,pm25,2023,9.6,8.6,35,25,red,orange
Central Interior,Quesnel Maple Drive,Quesnel-Maple Drive,PM25_R&P_TEOM,pm25,2013,6.9,6.9,25,25,orange,orange
Central Interior,Quesnel Maple Drive,Quesnel-Maple Drive,PM25_R&P_TEOM,pm25,2014,7.5,7.1,32,27,red,orange
Central Interior,Quesnel Maple Drive,Quesnel-Maple Drive,PM25_R&P_TEOM,pm25,2015,7.5,6.8,30,23,red,orange
Central Interior,Quesnel Maple Drive,Quesnel-Maple Drive,PM25_R&P_TEOM,pm25,2016,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel Maple Drive,Quesnel-Maple Drive,PM25_R&P_TEOM,pm25,2017,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel Maple Drive,Quesnel-Maple Drive,PM25_R&P_TEOM,pm25,2018,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel Maple Drive,Quesnel-Maple Drive,PM25_R&P_TEOM,pm25,2019,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel Maple Drive,Quesnel-Maple Drive,PM25_R&P_TEOM,pm25,2020,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel Maple Drive,Quesnel-Maple Drive,PM25_R&P_TEOM,pm25,2021,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel Maple Drive,Quesnel-Maple Drive,PM25_R&P_TEOM,pm25,2022,NA,NA,NA,NA,NA,NA
Central Interior,Quesnel Maple Drive,Quesnel-Maple Drive,PM25_R&P_TEOM,pm25,2023,NA,NA,NA,NA,NA,NA
Central Interior,Smithers,Smithers,PM25_R&P_TEOM,pm25,2013,5.4,5.4,18,18,yellow,yellow
Central Interior,Smithers,Smithers,PM25_R&P_TEOM,pm25,2014,NA,NA,NA,NA,NA,NA
Central Interior,Smithers,Smithers,PM25_R&P_TEOM,pm25,2015,NA,NA,NA,NA,NA,NA
Central Interior,Smithers,Smithers,PM25_R&P_TEOM,pm25,2016,NA,NA,NA,NA,NA,NA
Central Interior,Smithers,Smithers,PM25_R&P_TEOM,pm25,2017,NA,NA,NA,NA,NA,NA
Central Interior,Smithers,Smithers,PM25_R&P_TEOM,pm25,2018,NA,NA,NA,NA,NA,NA
Central Interior,Smithers,Smithers,PM25_R&P_TEOM,pm25,2019,NA,NA,NA,NA,NA,NA
Central Interior,Smithers,Smithers,PM25_R&P_TEOM,pm25,2020,NA,NA,NA,NA,NA,NA
Central Interior,Smithers,Smithers,PM25_R&P_TEOM,pm25,2021,NA,NA,NA,NA,NA,NA
Central Interior,Smithers,Smithers,PM25_R&P_TEOM,pm25,2022,NA,NA,NA,NA,NA,NA
Central Interior,Smithers,Smithers,PM25_R&P_TEOM,pm25,2023,NA,NA,NA,NA,NA,NA
Central Interior,Smithers,Smithers,SHARP,pm25,2013,9.4,9.4,29,29,red,red
Central Interior,Smithers,Smithers,SHARP,pm25,2014,9.2,9.2,30,30,red,red
Central Interior,Smithers,Smithers,SHARP,pm25,2015,9,9,29,29,red,red
Central Interior,Smithers,Smithers,SHARP,pm25,2016,7.9,7.9,25,25,orange,orange
Central Interior,Smithers,Smithers,SHARP,pm25,2017,8,7.9,27,25,orange,orange
Central Interior,Smithers,Smithers,SHARP,pm25,2018,8.2,8,29,27,red,orange
Central Interior,Smithers,Smithers,SHARP,pm25,2019,8.6,8.4,29,27,red,orange
Central Interior,Smithers,Smithers,SHARP,pm25,2020,8.1,7.9,24,23,orange,orange
Central Interior,Smithers,Smithers,SHARP,pm25,2021,7.2,7.2,20,20,orange,orange
Central Interior,Smithers,Smithers,SHARP,pm25,2022,6.7,6.7,19,19,orange,orange
Central Interior,Smithers,Smithers,SHARP,pm25,2023,7.4,7.4,23,23,orange,orange
Central Interior,Telkwa,Telkwa,PM25_R&P_TEOM,pm25,2013,5.4,5.4,17,17,yellow,yellow
Central Interior,Telkwa,Telkwa,PM25_R&P_TEOM,pm25,2014,5.6,5.6,18,18,yellow,yellow
Central Interior,Telkwa,Telkwa,PM25_R&P_TEOM,pm25,2015,5.7,5.7,18,18,yellow,yellow
Central Interior,Telkwa,Telkwa,PM25_R&P_TEOM,pm25,2016,NA,NA,NA,NA,NA,NA
Central Interior,Telkwa,Telkwa,PM25_R&P_TEOM,pm25,2017,NA,NA,NA,NA,NA,NA
Central Interior,Telkwa,Telkwa,PM25_R&P_TEOM,pm25,2018,NA,NA,NA,NA,NA,NA
Central Interior,Telkwa,Telkwa,PM25_R&P_TEOM,pm25,2019,NA,NA,NA,NA,NA,NA
Central Interior,Telkwa,Telkwa,PM25_R&P_TEOM,pm25,2020,NA,NA,NA,NA,NA,NA
Central Interior,Telkwa,Telkwa,PM25_R&P_TEOM,pm25,2021,NA,NA,NA,NA,NA,NA
Central Interior,Telkwa,Telkwa,PM25_R&P_TEOM,pm25,2022,NA,NA,NA,NA,NA,NA
Central Interior,Telkwa,Telkwa,PM25_R&P_TEOM,pm25,2023,NA,NA,NA,NA,NA,NA
Central Interior,Valemount,Valemount,PM25 SHARP5030,pm25,2013,NA,NA,NA,NA,NA,NA
Central Interior,Valemount,Valemount,PM25 SHARP5030,pm25,2014,NA,NA,NA,NA,NA,NA
Central Interior,Valemount,Valemount,PM25 SHARP5030,pm25,2015,NA,NA,NA,NA,NA,NA
Central Interior,Valemount,Valemount,PM25 SHARP5030,pm25,2016,NA,NA,NA,NA,NA,NA
Central Interior,Valemount,Valemount,PM25 SHARP5030,pm25,2017,15.3,14.5,96,96,red,red
Central Interior,Valemount,Valemount,PM25 SHARP5030,pm25,2018,15.3,14.5,101,82,red,red
Central Interior,Valemount,Valemount,PM25 SHARP5030,pm25,2019,NA,NA,105,76,red,red
Central Interior,Valemount,Valemount,PM25 SHARP5030,pm25,2020,NA,NA,77,47,red,red
Central Interior,Valemount,Valemount,PM25 SHARP5030,pm25,2021,NA,NA,63,55,red,red
Central Interior,Valemount,Valemount,PM25 SHARP5030,pm25,2022,NA,NA,63,55,red,red
Central Interior,Valemount,Valemount,PM25 SHARP5030,pm25,2023,NA,NA,NA,NA,NA,NA
Central Interior,Vanderhoof Courthouse,Vanderhoof,BAM1020,pm25,2013,10.8,10.8,36,36,red,red
Central Interior,Vanderhoof Courthouse,Vanderhoof,BAM1020,pm25,2014,11.3,11.1,38,38,red,red
Central Interior,Vanderhoof Courthouse,Vanderhoof,BAM1020,pm25,2015,10.6,10.4,35,35,red,red
Central Interior,Vanderhoof Courthouse,Vanderhoof,BAM1020,pm25,2016,9.6,9.4,32,32,red,red
Central Interior,Vanderhoof Courthouse,Vanderhoof,BAM1020,pm25,2017,9.1,8.9,35,32,red,red
Central Interior,Vanderhoof Courthouse,Vanderhoof,BAM1020,pm25,2018,13,9.6,73,34,red,red
Central Interior,Vanderhoof Courthouse,Vanderhoof,BAM1020,pm25,2019,15.2,10.1,74,35,red,red
Central Interior,Vanderhoof Courthouse,Vanderhoof,BAM1020,pm25,2020,NA,NA,88,33,red,red
Central Interior,Vanderhoof Courthouse,Vanderhoof,BAM1020,pm25,2021,NA,NA,29,NA,red,NA
Central Interior,Vanderhoof Courthouse,Vanderhoof,BAM1020,pm25,2022,10.3,10.1,28,26,red,red
Central Interior,Vanderhoof Courthouse,Vanderhoof,BAM1020,pm25,2023,12.4,12.2,48,47,red,red
Central Interior,Williams Lake CRD Library,Williams Lake-CRD Library,PM25_R&P_TEOM,pm25,2013,4.6,4.6,15,15,yellow,yellow
Central Interior,Williams Lake CRD Library,Williams Lake-CRD Library,PM25_R&P_TEOM,pm25,2014,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake CRD Library,Williams Lake-CRD Library,PM25_R&P_TEOM,pm25,2015,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake CRD Library,Williams Lake-CRD Library,PM25_R&P_TEOM,pm25,2016,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake CRD Library,Williams Lake-CRD Library,PM25_R&P_TEOM,pm25,2017,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake CRD Library,Williams Lake-CRD Library,PM25_R&P_TEOM,pm25,2018,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake CRD Library,Williams Lake-CRD Library,PM25_R&P_TEOM,pm25,2019,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake CRD Library,Williams Lake-CRD Library,PM25_R&P_TEOM,pm25,2020,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake CRD Library,Williams Lake-CRD Library,PM25_R&P_TEOM,pm25,2021,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake CRD Library,Williams Lake-CRD Library,PM25_R&P_TEOM,pm25,2022,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake CRD Library,Williams Lake-CRD Library,PM25_R&P_TEOM,pm25,2023,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25 SHARP5030,pm25,2013,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25 SHARP5030,pm25,2014,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25 SHARP5030,pm25,2015,8,7.6,26,23,orange,orange
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25 SHARP5030,pm25,2016,7.3,7,22,20,orange,orange
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25 SHARP5030,pm25,2017,10.9,7,78,20,red,orange
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25 SHARP5030,pm25,2018,13.7,7.5,111,21,red,orange
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25 SHARP5030,pm25,2019,14.1,8,112,22,red,orange
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25 SHARP5030,pm25,2020,9.2,6.8,51,19,red,orange
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25 SHARP5030,pm25,2021,6.5,5.9,25,18,orange,yellow
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25 SHARP5030,pm25,2022,6.4,5.7,27,19,orange,yellow
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25 SHARP5030,pm25,2023,7.1,6.1,32,20,red,orange
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25_R&P_TEOM,pm25,2013,4.8,4.8,15,15,yellow,yellow
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25_R&P_TEOM,pm25,2014,5.3,5,18,18,yellow,yellow
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25_R&P_TEOM,pm25,2015,5.5,5.1,19,18,yellow,yellow
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25_R&P_TEOM,pm25,2016,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25_R&P_TEOM,pm25,2017,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25_R&P_TEOM,pm25,2018,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25_R&P_TEOM,pm25,2019,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25_R&P_TEOM,pm25,2020,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25_R&P_TEOM,pm25,2021,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25_R&P_TEOM,pm25,2022,NA,NA,NA,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,PM25_R&P_TEOM,pm25,2023,NA,NA,NA,NA,NA,NA
Coastal,Kitimat Haisla Village,Kitimat-Haisla Village,BAM1020/TEOM,pm25,2013,2.5,2.5,10,10,green,green
Coastal,Kitimat Haisla Village,Kitimat-Haisla Village,BAM1020/TEOM,pm25,2014,4.5,4.5,15,15,yellow,yellow
