airzone,site,location,parameter,year,annual metric,1-hour,no adjustment
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2013,1.6,36.7,yellow
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2014,1.3,34.9,yellow
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2015,NA,35.1,yellow
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2016,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2017,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2018,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2019,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2020,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2021,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2022,NA,NA,NA
Central Interior,Prince George Gladstone School,Prince George-Gladstone School,so2,2023,NA,NA,NA
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2013,2.4,57.2,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2014,2.3,58.8,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2015,NA,58.6,orange
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2016,1.9,47.4,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2017,NA,NA,NA
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2018,1.4,49.7,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2019,1.2,43.7,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2020,1,40,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2021,1.6,33.8,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2022,1.4,36.2,yellow
Central Interior,Prince George Plaza 400,Prince George-Plaza 400,so2,2023,1.3,34.3,yellow
Central Interior,Quesnel,Quesnel,so2,2013,0.3,21,green
Central Interior,Quesnel,Quesnel,so2,2014,0.3,17.8,green
Central Interior,Quesnel,Quesnel,so2,2015,0.3,14.2,green
Central Interior,Quesnel,Quesnel,so2,2016,0.2,12.7,green
Central Interior,Quesnel,Quesnel,so2,2017,0.2,11.7,green
Central Interior,Quesnel,Quesnel,so2,2018,0.3,10.3,green
Central Interior,Quesnel,Quesnel,so2,2019,0.4,9.6,green
Central Interior,Quesnel,Quesnel,so2,2020,0.4,8.5,green
Central Interior,Quesnel,Quesnel,so2,2021,0.4,9.3,green
Central Interior,Quesnel,Quesnel,so2,2022,0.4,9.6,green
Central Interior,Quesnel,Quesnel,so2,2023,0.4,12,green
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2013,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2014,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2015,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2016,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2017,0.3,NA,green
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2018,0.2,1.8,green
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2019,NA,1.8,green
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2020,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2021,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2022,NA,NA,NA
Central Interior,Williams Lake Columneetza School,Williams Lake,so2,2023,NA,NA,NA
Coastal,Kitimat Haisla Village,Kitimat-Haisla Village,so2,2013,0.2,11.5,green
Coastal,Kitimat Haisla Village,Kitimat-Haisla Village,so2,2014,0.2,10.7,green
Coastal,Kitimat Haisla Village,Kitimat-Haisla Village,so2,2015,0.3,7.9,green
Coastal,Kitimat Haisla Village,Kitimat-Haisla Village,so2,2016,0.4,10.5,green
Coastal,Kitimat Haisla Village,Kitimat-Haisla Village,so2,2017,0.3,11.8,green
Coastal,Kitimat Haisla Village,Kitimat-Haisla Village,so2,2018,0.2,16.5,green
Coastal,Kitimat Haisla Village,Kitimat-Haisla Village,so2,2019,0.3,16,green
Coastal,Kitimat Haisla Village,Kitimat-Haisla Village,so2,2020,0.3,18.7,green
Coastal,Kitimat Haisla Village,Kitimat-Haisla Village,so2,2021,0.2,15.6,green
Coastal,Kitimat Haisla Village,Kitimat-Haisla Village,so2,2022,0.2,12.9,green
Coastal,Kitimat Haisla Village,Kitimat-Haisla Village,so2,2023,0.4,13.4,green
Coastal,Kitimat Rio Tinto Alcan KMP Camp,Kitimat-Rio Tinto Alcan KMP Camp,so2,2013,NA,129.1,red
Coastal,Kitimat Rio Tinto Alcan KMP Camp,Kitimat-Rio Tinto Alcan KMP Camp,so2,2014,NA,NA,NA
Coastal,Kitimat Rio Tinto Alcan KMP Camp,Kitimat-Rio Tinto Alcan KMP Camp,so2,2015,NA,NA,NA
Coastal,Kitimat Rio Tinto Alcan KMP Camp,Kitimat-Rio Tinto Alcan KMP Camp,so2,2016,NA,NA,NA
Coastal,Kitimat Rio Tinto Alcan KMP Camp,Kitimat-Rio Tinto Alcan KMP Camp,so2,2017,NA,NA,NA
Coastal,Kitimat Rio Tinto Alcan KMP Camp,Kitimat-Rio Tinto Alcan KMP Camp,so2,2018,NA,NA,NA
Coastal,Kitimat Rio Tinto Alcan KMP Camp,Kitimat-Rio Tinto Alcan KMP Camp,so2,2019,NA,NA,NA
Coastal,Kitimat Rio Tinto Alcan KMP Camp,Kitimat-Rio Tinto Alcan KMP Camp,so2,2020,NA,NA,NA
Coastal,Kitimat Rio Tinto Alcan KMP Camp,Kitimat-Rio Tinto Alcan KMP Camp,so2,2021,NA,NA,NA
Coastal,Kitimat Rio Tinto Alcan KMP Camp,Kitimat-Rio Tinto Alcan KMP Camp,so2,2022,NA,NA,NA
Coastal,Kitimat Rio Tinto Alcan KMP Camp,Kitimat-Rio Tinto Alcan KMP Camp,so2,2023,NA,NA,NA
Coastal,Kitimat Riverlodge,Kitimat-Riverlodge,so2,2013,NA,NA,NA
Coastal,Kitimat Riverlodge,Kitimat-Riverlodge,so2,2014,0.3,NA,green
Coastal,Kitimat Riverlodge,Kitimat-Riverlodge,so2,2015,0.4,16,green
Coastal,Kitimat Riverlodge,Kitimat-Riverlodge,so2,2016,0.5,18,green
Coastal,Kitimat Riverlodge,Kitimat-Riverlodge,so2,2017,0.4,20.5,green
Coastal,Kitimat Riverlodge,Kitimat-Riverlodge,so2,2018,0.5,26.4,green
Coastal,Kitimat Riverlodge,Kitimat-Riverlodge,so2,2019,0.5,32.1,yellow
Coastal,Kitimat Riverlodge,Kitimat-Riverlodge,so2,2020,0.5,28.7,green
Coastal,Kitimat Riverlodge,Kitimat-Riverlodge,so2,2021,0.4,28.7,green
Coastal,Kitimat Riverlodge,Kitimat-Riverlodge,so2,2022,0.3,19,green
Coastal,Kitimat Riverlodge,Kitimat-Riverlodge,so2,2023,0.6,22.1,green
Coastal,Kitimat Smeltersite Road,Kitimat-Smeltersite Road,so2,2013,NA,79.7,red
Coastal,Kitimat Smeltersite Road,Kitimat-Smeltersite Road,so2,2014,3.2,78.2,red
Coastal,Kitimat Smeltersite Road,Kitimat-Smeltersite Road,so2,2015,3,70.8,red
Coastal,Kitimat Smeltersite Road,Kitimat-Smeltersite Road,so2,2016,7.8,86.5,red
Coastal,Kitimat Smeltersite Road,Kitimat-Smeltersite Road,so2,2017,NA,92.2,red
Coastal,Kitimat Smeltersite Road,Kitimat-Smeltersite Road,so2,2018,NA,NA,NA
Coastal,Kitimat Smeltersite Road,Kitimat-Smeltersite Road,so2,2019,NA,NA,NA
Coastal,Kitimat Smeltersite Road,Kitimat-Smeltersite Road,so2,2020,NA,NA,NA
Coastal,Kitimat Smeltersite Road,Kitimat-Smeltersite Road,so2,2021,NA,NA,NA
Coastal,Kitimat Smeltersite Road,Kitimat-Smeltersite Road,so2,2022,NA,NA,NA
Coastal,Kitimat Smeltersite Road,Kitimat-Smeltersite Road,so2,2023,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,so2,2013,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,so2,2014,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,so2,2015,NA,NA,NA
Coastal,Kitimat Whitesail,Kitimat-Whitesail,so2,2016,0.5,NA,green
Coastal,Kitimat Whitesail,Kitimat-Whitesail,so2,2017,0.4,18.2,green
Coastal,Kitimat Whitesail,Kitimat-Whitesail,so2,2018,0.3,18.8,green
Coastal,Kitimat Whitesail,Kitimat-Whitesail,so2,2019,0.4,21,green
Coastal,Kitimat Whitesail,Kitimat-Whitesail,so2,2020,NA,20.9,green
Coastal,Kitimat Whitesail,Kitimat-Whitesail,so2,2021,0.3,18.7,green
Coastal,Kitimat Whitesail,Kitimat-Whitesail,so2,2022,0.2,10.6,green
Coastal,Kitimat Whitesail,Kitimat-Whitesail,so2,2023,0.4,14,green
Coastal,Port Alice Lake Road,Port Alice-Lake Road,so2,2013,4.9,329.6,red
Coastal,Port Alice Lake Road,Port Alice-Lake Road,so2,2014,7.6,418.9,red
Coastal,Port Alice Lake Road,Port Alice-Lake Road,so2,2015,NA,316.1,red
Coastal,Port Alice Lake Road,Port Alice-Lake Road,so2,2016,NA,328.7,red
Coastal,Port Alice Lake Road,Port Alice-Lake Road,so2,2017,NA,NA,NA
Coastal,Port Alice Lake Road,Port Alice-Lake Road,so2,2018,NA,NA,NA
Coastal,Port Alice Lake Road,Port Alice-Lake Road,so2,2019,NA,NA,NA
Coastal,Port Alice Lake Road,Port Alice-Lake Road,so2,2020,NA,NA,NA
Coastal,Port Alice Lake Road,Port Alice-Lake Road,so2,2021,NA,NA,NA
Coastal,Port Alice Lake Road,Port Alice-Lake Road,so2,2022,NA,NA,NA
Coastal,Port Alice Lake Road,Port Alice-Lake Road,so2,2023,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,so2,2013,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,so2,2014,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,so2,2015,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,so2,2016,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,so2,2017,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,so2,2018,NA,NA,NA
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,so2,2019,0.3,NA,green
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,so2,2020,0.2,1.9,green
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,so2,2021,0.1,1.6,green
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,so2,2022,0.2,1.4,green
Coastal,Prince Rupert Fairview,Prince Rupert-Fairview,so2,2023,0.2,1.4,green
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,so2,2013,7.5,128.2,red
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,so2,2014,6.3,138.2,red
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,so2,2015,NA,146.3,red
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,so2,2016,NA,155,red
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,so2,2017,NA,NA,NA
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,so2,2018,NA,NA,NA
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,so2,2019,NA,NA,NA
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,so2,2020,NA,NA,NA
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,so2,2021,NA,NA,NA
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,so2,2022,NA,NA,NA
Coastal,Rumble Beach Hospital,Rumble Beach-Hospital,so2,2023,NA,NA,NA
Coastal,Terrace Skeena Middle School,Terrace,so2,2013,NA,NA,NA
Coastal,Terrace Skeena Middle School,Terrace,so2,2014,NA,NA,NA
Coastal,Terrace Skeena Middle School,Terrace,so2,2015,0.2,NA,green
Coastal,Terrace Skeena Middle School,Terrace,so2,2016,0.5,3.2,green
Coastal,Terrace Skeena Middle School,Terrace,so2,2017,0.5,4.1,green
Coastal,Terrace Skeena Middle School,Terrace,so2,2018,0.4,5.5,green
Coastal,Terrace Skeena Middle School,Terrace,so2,2019,0.5,5.8,green
Coastal,Terrace Skeena Middle School,Terrace,so2,2020,0.5,5.1,green
Coastal,Terrace Skeena Middle School,Terrace,so2,2021,0.5,4.5,green
Coastal,Terrace Skeena Middle School,Terrace,so2,2022,0.3,3.3,green
Coastal,Terrace Skeena Middle School,Terrace,so2,2023,0.5,4.2,green
Georgia Strait,Colwood City Hall,Colwood,so2,2013,0.5,5.1,green
Georgia Strait,Colwood City Hall,Colwood,so2,2014,0.7,4.2,green
Georgia Strait,Colwood City Hall,Colwood,so2,2015,0.7,3.6,green
Georgia Strait,Colwood City Hall,Colwood,so2,2016,0.6,3.7,green
Georgia Strait,Colwood City Hall,Colwood,so2,2017,NA,3.1,green
Georgia Strait,Colwood City Hall,Colwood,so2,2018,NA,NA,NA
Georgia Strait,Colwood City Hall,Colwood,so2,2019,NA,NA,NA
Georgia Strait,Colwood City Hall,Colwood,so2,2020,NA,NA,NA
Georgia Strait,Colwood City Hall,Colwood,so2,2021,NA,NA,NA
Georgia Strait,Colwood City Hall,Colwood,so2,2022,NA,NA,NA
Georgia Strait,Colwood City Hall,Colwood,so2,2023,NA,NA,NA
Georgia Strait,Crofton Elementary,Crofton-Elementary,so2,2013,NA,NA,NA
Georgia Strait,Crofton Elementary,Crofton-Elementary,so2,2014,NA,NA,NA
Georgia Strait,Crofton Elementary,Crofton-Elementary,so2,2015,NA,NA,NA
Georgia Strait,Crofton Elementary,Crofton-Elementary,so2,2016,NA,NA,NA
Georgia Strait,Crofton Elementary,Crofton-Elementary,so2,2017,NA,NA,NA
Georgia Strait,Crofton Elementary,Crofton-Elementary,so2,2018,NA,NA,NA
Georgia Strait,Crofton Elementary,Crofton-Elementary,so2,2019,NA,NA,NA
Georgia Strait,Crofton Elementary,Crofton-Elementary,so2,2020,NA,NA,NA
Georgia Strait,Crofton Elementary,Crofton-Elementary,so2,2021,0.6,NA,green
Georgia Strait,Crofton Elementary,Crofton-Elementary,so2,2022,1,12,green
Georgia Strait,Crofton Elementary,Crofton-Elementary,so2,2023,NA,16,green
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,so2,2013,1.4,38.1,yellow
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,so2,2014,NA,40.2,yellow
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,so2,2015,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,so2,2016,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,so2,2017,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,so2,2018,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,so2,2019,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,so2,2020,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,so2,2021,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,so2,2022,NA,NA,NA
Georgia Strait,Crofton Escarpment Way,Crofton-Escarpment Way,so2,2023,NA,NA,NA
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,so2,2013,NA,NA,NA
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,so2,2014,NA,NA,NA
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,so2,2015,NA,NA,NA
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,so2,2016,2.2,NA,yellow
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,so2,2017,2.2,74.8,red
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,so2,2018,NA,114.9,red
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,so2,2019,NA,136.8,red
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,so2,2020,NA,NA,NA
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,so2,2021,NA,NA,NA
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,so2,2022,NA,NA,NA
Georgia Strait,Crofton Georgia Hts,Crofton-Georgia Hts,so2,2023,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,so2,2013,1.2,21.4,green
Georgia Strait,Crofton Substation,Crofton-Substation,so2,2014,NA,21.9,green
Georgia Strait,Crofton Substation,Crofton-Substation,so2,2015,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,so2,2016,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,so2,2017,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,so2,2018,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,so2,2019,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,so2,2020,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,so2,2021,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,so2,2022,NA,NA,NA
Georgia Strait,Crofton Substation,Crofton-Substation,so2,2023,NA,NA,NA
Georgia Strait,Langdale Elementary,Langdale,so2,2013,1,12,green
Georgia Strait,Langdale Elementary,Langdale,so2,2014,1.1,13.1,green
Georgia Strait,Langdale Elementary,Langdale,so2,2015,0.9,11.3,green
Georgia Strait,Langdale Elementary,Langdale,so2,2016,0.7,9.6,green
Georgia Strait,Langdale Elementary,Langdale,so2,2017,0.7,9.3,green
Georgia Strait,Langdale Elementary,Langdale,so2,2018,0.6,10.8,green
Georgia Strait,Langdale Elementary,Langdale,so2,2019,NA,12.2,green
Georgia Strait,Langdale Elementary,Langdale,so2,2020,0.8,12.3,green
Georgia Strait,Langdale Elementary,Langdale,so2,2021,0.8,14.3,green
Georgia Strait,Langdale Elementary,Langdale,so2,2022,0.7,16.4,green
Georgia Strait,Langdale Elementary,Langdale,so2,2023,0.6,18.7,green
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,so2,2013,NA,NA,NA
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,so2,2014,0.5,NA,green
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,so2,2015,0.4,6.5,green
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,so2,2016,0.6,6.6,green
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,so2,2017,NA,5.9,green
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,so2,2018,NA,NA,NA
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,so2,2019,NA,NA,NA
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,so2,2020,NA,NA,NA
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,so2,2021,NA,NA,NA
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,so2,2022,NA,NA,NA
Georgia Strait,Port Alberni Elementary,Port Alberni-Elem.School,so2,2023,NA,NA,NA
Georgia Strait,Port Alberni Firehall MAML,Port Alberni Firehall MAML,so2,2013,NA,NA,NA
Georgia Strait,Port Alberni Firehall MAML,Port Alberni Firehall MAML,so2,2014,0.4,NA,green
Georgia Strait,Port Alberni Firehall MAML,Port Alberni Firehall MAML,so2,2015,NA,NA,NA
Georgia Strait,Port Alberni Firehall MAML,Port Alberni Firehall MAML,so2,2016,NA,NA,NA
