GEO_NAME,C1_COUNT_TOTAL,Name,latitude,longitude,airzone
"Ingenika Point, Indian settlement (S-É)",0,Ingenika Point,56.785833,-124.875278,Northwest
"Lower Post, Indian settlement (S-É)",5,Lower Post,59.933333,-128.5,Northwest
"Good Hope Lake, Indian settlement (S-É)",0,Good Hope Lake,59.299722,-129.275833,Northwest
"Q'alatkú7em, Indian reserve (IRI)",50,Q'alatkú7em,0,0,NA
"105 Mile Post 2, Indian reserve (IRI)",5,105 Mile Post 2,50.733333,-121.316667,Southern Interior
"Abbotsford, City (CY)",153524,Abbotsford,49.05,-122.28333,Lower Fraser Valley
"Agats Meadow 8, Indian reserve (IRI)",0,Agats Meadow 8,52.283333,-124.161111,Central Interior
"Ahahswinis 1, Indian reserve (IRI)",150,Ahahswinis 1,49.265135,-124.8254902,Georgia Strait
"Ahaminaquus 12, Indian reserve (IRI)",0,Ahaminaquus 12,49.6841303,-126.1195259,Coastal
"Aitchelitch 9, Indian reserve (IRI)",45,Aitchelitch 9,49.1499768,-121.9910133,Lower Fraser Valley
"Alberni 2, Indian reserve (IRI)",0,Alberni 2,49.2146478,-124.8103305,Georgia Strait
"Albert Flat 5, Indian reserve (IRI)",41,Albert Flat 5,49.516667,-121.416667,Lower Fraser Valley
"Alert Bay, Indian reserve (IRI)",382,Alert Bay,50.583889,-126.927778,NA
"Alert Bay, Indian reserve (IRI)",382,Alert Bay,50.583889,-126.927778,NA
"Alert Bay, Village (VL)",449,Alert Bay,50.583889,-126.927778,NA
"Alert Bay, Village (VL)",449,Alert Bay,50.583889,-126.927778,NA
"Alexandria, Indian reserve (IRI)",NA,Alexandria,52.633333,-122.45,Central Interior
"Alexis 9, Indian reserve (IRI)",10,Alexis 9,49.2187512,-119.918072,Southern Interior
"Alexis Creek 14, Indian reserve (IRI)",5,Alexis Creek 14,52.2037558,-124.3133918,Central Interior
"Alexis Creek 16, Indian reserve (IRI)",0,Alexis Creek 16,52.1749353,-124.3156749,Central Interior
"Alexis Creek 21, Indian reserve (IRI)",0,Alexis Creek 21,52.3169253,-124.2636336,Central Interior
"Alexis Creek 34, Indian reserve (IRI)",0,Alexis Creek 34,52.483333,-124.283333,Central Interior
"Alkali Lake 1, Indian reserve (IRI)",358,Alkali Lake 1,51.7882111,-122.226573,Central Interior
"Alkali Lake 4A, Indian reserve (IRI)",5,Alkali Lake 4A,51.8235049,-122.1190912,Central Interior
"Anacla 12, Indian reserve (IRI)",104,Anacla 12,48.799444,-125.119722,Georgia Strait
"Anahim's Flat 1, Indian reserve (IRI)",437,Anahim's Flat 1,52.033333,-123.166667,Central Interior
"Anahim's Meadow, Indian reserve (IRI)",10,Anahim's Meadow,52.116667,-123.233333,Central Interior
"Anmore, Village (VL)",2356,Anmore,49.314444,-122.856389,Lower Fraser Valley
"Armstrong, City (CY)",5323,Armstrong,50.448333,-119.196667,Southern Interior
"Ashcroft 4, Indian reserve (IRI)",42,Ashcroft 4,50.7222129,-121.3182309,Southern Interior
"Ashcroft, Village (VL)",1670,Ashcroft,50.721389,-121.283611,Southern Interior
"Ashnola 10, Indian reserve (IRI)",58,Ashnola 10,49.216667,-120,Southern Interior
"Babine 16, Indian reserve (IRI)",0,Babine 16,55.3242184,-126.6446168,Central Interior
"Babine 17, Indian reserve (IRI)",87,Babine 17,55.0273613,-127.3386305,Central Interior
"Babine 25, Indian reserve (IRI)",83,Babine 25,54.8178098,-126.1480991,Central Interior
"Babine 6, Indian reserve (IRI)",75,Babine 6,55.3237355,-126.61522,Central Interior
"Babine Lake 21B, Indian reserve (IRI)",0,Babine Lake 21B,54.4913394,-125.6482383,Central Interior
"Baezaeko River 27, Indian reserve (IRI)",0,Baezaeko River 27,52.9882293,-123.8127059,Central Interior
"Baptiste Meadow 2, Indian reserve (IRI)",0,Baptiste Meadow 2,51.997222,-122.554167,Central Interior
"Barnston Island 3, Indian reserve (IRI)",NA,Barnston Island 3,49.1881261,-122.6950644,NA
"Barriere, District municipality (DM)",1765,Barriere,51.179722,-120.123611,Southern Interior
"Basque 18, Indian reserve (IRI)",NA,Basque 18,50.63,-121.322778,Southern Interior
"Becher Bay 1, Indian reserve (IRI)",221,Becher Bay 1,48.339444,-123.599722,Georgia Strait
"Belcarra, Village (VL)",687,Belcarra,49.313611,-122.915,NA
"Bella Bella 1, Indian reserve (IRI)",1193,Bella Bella 1,52.15,-128.15,Coastal
"Bella Coola 1, Indian reserve (IRI)",937,Bella Coola 1,52.3781888,-126.7246152,Coastal
"Betty Creek 18, Indian reserve (IRI)",0,Betty Creek 18,52.9198205,-125.4064305,Central Interior
"Binche 2, Indian reserve (IRI)",118,Binche 2,54.570278,-124.503056,Central Interior
"Blind Creek 6, Indian reserve (IRI)",26,Blind Creek 6,49.183333,-119.733333,Southern Interior
"Blueberry River 205, Indian reserve (IRI)",145,Blueberry River 205,56.7040684,-121.1043585,Northeast
"Bonaparte 3, Indian reserve (IRI)",159,Bonaparte 3,50.85,-121.366667,Southern Interior
"Boothroyd 13, Indian reserve (IRI)",0,Boothroyd 13,49.9890364,-121.490005,Lower Fraser Valley
"Boothroyd 8A, Indian reserve (IRI)",0,Boothroyd 8A,50.0427283,-121.5357111,Lower Fraser Valley
"Boston Bar 1A, Indian reserve (IRI)",0,Boston Bar 1A,49.8307007,-121.4287143,Lower Fraser Valley
"Bowen Island, Island municipality (IM)",4256,Bowen Island,49.373056,-123.371111,Lower Fraser Valley
"Bridge River 1, Indian reserve (IRI)",242,Bridge River 1,50.7984719,-122.0270734,Southern Interior
"Bucktum 4, Indian reserve (IRI)",5,Bucktum 4,49.9105019,-121.4407909,Lower Fraser Valley
"Bulkley River 19, Indian reserve (IRI)",174,Bulkley River 19,55.033333,-127.316667,Central Interior
"Burnaby, City (CY)",249125,Burnaby,49.242778,-122.972778,Lower Fraser Valley
"Burns Lake 18, Indian reserve (IRI)",33,Burns Lake 18,54.2383481,-125.7680943,Central Interior
"Burns Lake, Village (VL)",1659,Burns Lake,54.230278,-125.764444,Central Interior
"Burrard Inlet 3, Indian reserve (IRI)",2373,Burrard Inlet 3,49.3085081,-122.9753558,Lower Fraser Valley
"Cache Creek, Village (VL)",969,Cache Creek,50.811944,-121.323334,Southern Interior
"Campbell River 11, Indian reserve (IRI)",506,Campbell River 11,50.033333,-125.25,NA
"Campbell River, City (CY)",35519,Campbell River,50.023056,-125.243611,Georgia Strait
"Canal Flats, Village (VL)",802,Canal Flats,50.160278,-115.808889,Southern Interior
"Canim Lake 1, Indian reserve (IRI)",NA,Canim Lake 1,51.783333,-121,Central Interior
"Canim Lake 2, Indian reserve (IRI)",NA,Canim Lake 2,51.7437561,-121.1297727,Central Interior
"Canim Lake 4, Indian reserve (IRI)",0,Canim Lake 4,51.7958118,-121.4739391,Central Interior
"Canoe Creek 1, Indian reserve (IRI)",56,Canoe Creek 1,51.4692931,-122.1543244,Southern Interior
"Canoe Creek 2, Indian reserve (IRI)",104,Canoe Creek 2,51.433333,-122.05,Southern Interior
"Canoe Creek 3, Indian reserve (IRI)",0,Canoe Creek 3,51.533333,-122.25,Central Interior
"Cape Mudge 10, Indian reserve (IRI)",145,Cape Mudge 10,50,-125.183333,Georgia Strait
"Capilano 5, Indian reserve (IRI)",2899,Capilano 5,49.3235774,-123.1375906,Lower Fraser Valley
"Cassimayooks (Mayook) 5, Indian reserve (IRI)",5,Cassimayooks (Mayook) 5,49.491667,-115.563889,Southern Interior
"Castlegar, City (CY)",8338,Castlegar,49.324444,-117.666944,Southern Interior
"Cayoosh Creek 1, Indian reserve (IRI)",66,Cayoosh Creek 1,50.666667,-121.933333,Southern Interior
"Central Saanich, District municipality (DM)",17385,Central Saanich,48.594444,-123.420833,Georgia Strait
"Charley Boy's Meadow 3, Indian reserve (IRI)",0,Charley Boy's Meadow 3,52.3,-124.216667,Central Interior
"Chase, Village (VL)",2399,Chase,50.819167,-119.686111,Southern Interior
"Chawathil 4, Indian reserve (IRI)",182,Chawathil 4,49.37401,-121.5423061,Lower Fraser Valley
"Cheakamus 11, Indian reserve (IRI)",95,Cheakamus 11,49.8,-123.183333,Georgia Strait
"Cheam 1, Indian reserve (IRI)",207,Cheam 1,49.2,-121.766667,Lower Fraser Valley
"Chehalis 5, Indian reserve (IRI)",500,Chehalis 5,49.3,-121.9,Lower Fraser Valley
"Chekwelp 26, Indian reserve (IRI)",0,Chekwelp 26,49.4102638,-123.4994707,Georgia Strait
"Chemainus 13, Indian reserve (IRI)",818,Chemainus 13,49,-123.783333,Georgia Strait
"Chenahkint 12, Indian reserve (IRI)",0,Chenahkint 12,49.8739232,-126.977668,NA
"Cheslatta 1, Indian reserve (IRI)",49,Cheslatta 1,54.0018218,-125.7040948,Central Interior
"Chetwynd, District municipality (DM)",2302,Chetwynd,55.695833,-121.638333,Northeast
"Chilco Lake 1, Indian reserve (IRI)",NA,Chilco Lake 1,51.4125169,-124.1142669,Central Interior
"Chilco Lake 1A, Indian reserve (IRI)",NA,Chilco Lake 1A,51.416667,-124.1,Central Interior
"Chilhil 6, Indian reserve (IRI)",63,Chilhil 6,50.633333,-121.8,Southern Interior
"Chilliwack, City (CY)",93203,Chilliwack,49.166667,-121.95,Lower Fraser Valley
"Chopaka 7 & 8, Indian reserve (IRI)",86,Chopaka 7 & 8,49.043056,-119.718056,Southern Interior
"Chuchhraischin, Indian reserve (IRI)",0,Chuchhraischin,NA,NA,NA
"Chuchuwayha 2, Indian reserve (IRI)",86,Chuchuwayha 2,49.3719392,-120.1003604,Southern Interior
"Chum Creek 2, Indian reserve (IRI)",53,Chum Creek 2,50.866667,-119.583333,Southern Interior
"Clakamucus 2, Indian reserve (IRI)",0,Clakamucus 2,48.977222,-125.573611,Coastal
"Clearwater, District municipality (DM)",2388,Clearwater,51.645556,-120.0325,Central Interior
"Clinton, Village (VL)",568,Clinton,51.091667,-121.586667,Southern Interior
"Coglistiko River 29, Indian reserve (IRI)",0,Coglistiko River 29,52.9892985,-123.8434084,Central Interior
"Coldstream, District municipality (DM)",11171,Coldstream,50.223889,-119.23,Southern Interior
"Coldwater 1, Indian reserve (IRI)",350,Coldwater 1,50.033333,-120.833333,Southern Interior
"Cole Bay 3, Indian reserve (IRI)",266,Cole Bay 3,48.616667,-123.45,Georgia Strait
"Columbia Lake 3, Indian reserve (IRI)",149,Columbia Lake 3,50.416667,-115.916667,Southern Interior
"Colwood, City (CY)",18961,Colwood,48.423611,-123.493333,Georgia Strait
"Comox 1, Indian reserve (IRI)",291,Comox 1,49.6798241,-124.9562401,Georgia Strait
"Comox, Town (T)",14806,Comox,49.672778,-124.927778,Georgia Strait
"Coquitlam 1, Indian reserve (IRI)",55,Coquitlam 1,49.2303997,-122.8050852,Lower Fraser Valley
"Coquitlam 2, Indian reserve (IRI)",0,Coquitlam 2,49.2477296,-122.7922362,Lower Fraser Valley
"Coquitlam, City (CY)",148625,Coquitlam,49.284167,-122.793611,Lower Fraser Valley
"Coryatsaqua (Moricetown) 2, Indian reserve (IRI)",80,Coryatsaqua (Moricetown) 2,55.033333,-127.333333,Central Interior
"Courtenay, City (CY)",28420,Courtenay,49.689444,-124.995833,Georgia Strait
"Cowichan Lake, Indian reserve (IRI)",20,Cowichan Lake,48.875,-124.26,Georgia Strait
"Cowichan, Indian reserve (IRI)",2420,Cowichan,48.7695142,-123.6660387,Georgia Strait
"Cranbrook, City (CY)",20499,Cranbrook,49.508056,-115.746944,Southern Interior
"Creston 1, Indian reserve (IRI)",93,Creston 1,49.05,-116.533333,Southern Interior
"Creston, Town (T)",5583,Creston,49.0975,-116.513056,Southern Interior
"Cumberland, Village (VL)",4447,Cumberland,49.618611,-125.0325,Georgia Strait
"Dawson Creek, City (CY)",12323,Dawson Creek,55.760556,-120.235556,Northeast
"Dead Point 5, Indian reserve (IRI)",22,Dead Point 5,50.5945861,-126.5933715,NA
"Dease Lake 9, Indian reserve (IRI)",54,Dease Lake 9,58.4729553,-130.025873,Northwest
"Dease River 1, Indian reserve (IRI)",39,Dease River 1,59.2875,-129.289444,Northwest
"Deep Creek 2, Indian reserve (IRI)",111,Deep Creek 2,52.2625,-122.0875,Central Interior
"Delta, City (CY)",108455,Delta,49.084722,-123.058611,Lower Fraser Valley
"Dog Creek 1, Indian reserve (IRI)",88,Dog Creek 1,51.5863784,-122.2060463,Central Interior
"Dog Creek 2, Indian reserve (IRI)",17,Dog Creek 2,51.6,-122.083333,Central Interior
"Doig River 206, Indian reserve (IRI)",85,Doig River 206,56.566667,-120.5,Northeast
"Dolphin Island 1, Indian reserve (IRI)",295,Dolphin Island 1,53.783333,-130.433333,NA
"Douglas 8, Indian reserve (IRI)",66,Douglas 8,49.7575266,-122.1835038,Lower Fraser Valley
"Douglas Lake 3, Indian reserve (IRI)",188,Douglas Lake 3,50.1658119,-120.2810469,Southern Interior
"Dragon Lake 3, Indian reserve (IRI)",15,Dragon Lake 3,52.9712158,-122.429432,Central Interior
"Duck Lake 7, Indian reserve (IRI)",1847,Duck Lake 7,49.999167,-119.401389,Southern Interior
"Duncan Lake 2, Indian reserve (IRI)",5,Duncan Lake 2,54.4218198,-126.1376584,Central Interior
"Duncan, City (CY)",5047,Duncan,48.778611,-123.708056,Georgia Strait
"Dzitline Lee 9, Indian reserve (IRI)",15,Dzitline Lee 9,54.876944,-125.135,Central Interior
"East Moberly Lake 169, Indian reserve (IRI)",297,East Moberly Lake 169,55.833333,-121.633333,Northeast
"East Saanich 2, Indian reserve (IRI)",1790,East Saanich 2,48.583333,-123.383333,Georgia Strait
"Ehatis 11, Indian reserve (IRI)",91,Ehatis 11,49.9826005,-126.8604092,Coastal
"Elhlateese 2, Indian reserve (IRI)",10,Elhlateese 2,49.021667,-125.04,Georgia Strait
"Elkford, District municipality (DM)",2749,Elkford,50.024444,-114.921667,Southern Interior
"Enderby 2, Indian reserve (IRI)",440,Enderby 2,50.55,-119.133333,Southern Interior
"Enderby, City (CY)",3028,Enderby,50.550556,-119.139444,Southern Interior
"Entlqwekkinh 19, Indian reserve (IRI)",5,Entlqwekkinh 19,50.466667,-121.3125,Southern Interior
"Esowista 3, Indian reserve (IRI)",90,Esowista 3,49.0754617,-125.7916131,Coastal
"Esquimalt, District municipality (DM)",17533,Esquimalt,48.429722,-123.414444,Georgia Strait
"Esquimalt, District municipality (DM)",17533,Esquimalt,48.429722,-123.414444,Georgia Strait
"Esquimalt, Indian reserve (IRI)",120,Esquimalt,48.429722,-123.414444,Georgia Strait
"Esquimalt, Indian reserve (IRI)",120,Esquimalt,48.429722,-123.414444,Georgia Strait
"Est-Patrolas 4, Indian reserve (IRI)",26,Est-Patrolas 4,48.7136587,-123.6059347,Georgia Strait
"Euchinico Creek 17, Indian reserve (IRI)",5,Euchinico Creek 17,53.216667,-123.5,Central Interior
"Fernie, City (CY)",6320,Fernie,49.504167,-115.062778,Southern Interior
"Finlay River 6, Indian reserve (IRI)",229,Finlay River 6,NA,NA,NA
"Fishtrap 19, Indian reserve (IRI)",10,Fishtrap 19,52.359167,-125.1575,Central Interior
"Five Mile Point 3, Indian reserve (IRI)",83,Five Mile Point 3,59.5,-133.666667,Northwest
"Fontas 1, Indian reserve (IRI)",5,Fontas 1,58.2851339,-121.7261312,Northeast
"Fort George 2, Indian reserve (IRI)",84,Fort George 2,54.016667,-122.626389,Central Interior
"Fort Nelson 2, Indian reserve (IRI)",419,Fort Nelson 2,58.75,-122.583333,Northeast
"Fort Rupert 1, Indian reserve (IRI)",58,Fort Rupert 1,50.6953242,-127.4055824,Coastal
"Fort St. James, District municipality (DM)",1386,Fort St. James,54.444444,-124.259167,Central Interior
"Fort St. John, City (CY)",21465,Fort St. John,56.2525,-120.846667,Northeast
"Fort Ware 1, Indian reserve (IRI)",242,Fort Ware 1,57.433333,-125.633333,Northwest
"Fountain 1, Indian reserve (IRI)",93,Fountain 1,50.736111,-121.861111,Southern Interior
"Fountain 10, Indian reserve (IRI)",5,Fountain 10,50.7587258,-121.9207272,Southern Interior
"Fountain 11, Indian reserve (IRI)",0,Fountain 11,50.720833,-121.909722,Southern Interior
"Fountain 12, Indian reserve (IRI)",10,Fountain 12,50.6864826,-121.80786,Southern Interior
"Fountain 1B, Indian reserve (IRI)",63,Fountain 1B,50.741667,-121.875,Southern Interior
"Fountain 1D, Indian reserve (IRI)",25,Fountain 1D,50.7433639,-121.8652598,Southern Interior
"Fountain 3, Indian reserve (IRI)",10,Fountain 3,50.779167,-121.844444,Southern Interior
"Fountain 3A, Indian reserve (IRI)",0,Fountain 3A,50.7629692,-121.8334776,Southern Interior
"Fountain Creek 8, Indian reserve (IRI)",0,Fountain Creek 8,50.7070444,-121.8363324,Southern Interior
"Francois Lake 7, Indian reserve (IRI)",NA,Francois Lake 7,54.0092887,-125.9520241,Central Interior
"Fraser Lake, Village (VL)",965,Fraser Lake,54.060278,-124.843889,Central Interior
"Fruitvale, Village (VL)",1958,Fruitvale,49.115,-117.542778,Southern Interior
"Galiano Island 9, Indian reserve (IRI)",0,Galiano Island 9,49.0068516,-123.5847811,NA
"Garden, Indian reserve (IRI)",NA,Garden,51.4412684,-124.0480709,Central Interior
"Gibsons, Town (T)",4758,Gibsons,49.400278,-123.508889,Georgia Strait
"Gitanmaax 1, Indian reserve (IRI)",560,Gitanmaax 1,55.269444,-127.68056,Central Interior
"Gitanyow 1, Indian reserve (IRI)",408,Gitanyow 1,55.266667,-128.066667,Central Interior
"Gitsegukla 1, Indian reserve (IRI)",444,Gitsegukla 1,55.091667,-127.829167,Central Interior
"Gitwangak 1, Indian reserve (IRI)",450,Gitwangak 1,55.1,-128.066667,Central Interior
"Gold River, Village (VL)",1246,Gold River,49.781389,-126.046944,Coastal
"Golden, Town (T)",3986,Golden,51.297778,-116.964722,Southern Interior
"Gordon River 2, Indian reserve (IRI)",79,Gordon River 2,48.5749882,-124.4047095,Georgia Strait
"Grand Forks, City (CY)",4112,Grand Forks,49.031111,-118.439167,Southern Interior
"Granisle, Village (VL)",337,Granisle,54.884722,-126.206667,Central Interior
"Greenwood, City (CY)",702,Greenwood,49.088333,-118.676389,Southern Interior
"Guhthe Tah 12, Indian reserve (IRI)",142,Guhthe Tah 12,57.903889,-131.176389,Northwest
"Gwayasdums 1, Indian reserve (IRI)",38,Gwayasdums 1,50.6946648,-126.5985983,NA
"Hagwilget 1, Indian reserve (IRI)",183,Hagwilget 1,55.2578112,-127.5973603,Central Interior
"Halalt 2, Indian reserve (IRI)",156,Halalt 2,48.8763063,-123.6950565,Georgia Strait
"Halfway River 168, Indian reserve (IRI)",247,Halfway River 168,56.4734781,-121.8314946,Northeast
"Halhalaeden, Indian reserve (IRI)",10,Halhalaeden,50.2961294,-121.6358102,Southern Interior
"Hamilton Creek 2, Indian reserve (IRI)",0,Hamilton Creek 2,50.1608951,-120.5162844,Southern Interior
"Harris 3, Indian reserve (IRI)",0,Harris 3,50.3871199,-119.2350991,Southern Interior
"Harrison Hot Springs, Village (VL)",1905,Harrison Hot Springs,49.298889,-121.784444,Lower Fraser Valley
"Hazelton, Village (VL)",257,Hazelton,55.255833,-127.675556,Central Interior
"Hesquiat 1, Indian reserve (IRI)",NA,Hesquiat 1,49.3934562,-126.4723298,Coastal
